package_name,on_cran,install,github_username,description
dplyr,TRUE,TRUE,,Important for most of our data manipulation.
ggplot2,TRUE,TRUE,,Graphing.
gplots,TRUE,TRUE,,Contains Venn diagrams (not currently used)
knitr,TRUE,TRUE,,For reporting.
lme4,TRUE,TRUE,,Multilevel models.
plyr,TRUE,TRUE,,Important for most of our data manipulation.
RColorBrewer,TRUE,TRUE,,Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/.
reshape2,TRUE,TRUE,,Data manipulation not covered in plyr.
testit,TRUE,TRUE,,Has the useful `assert()` function.
VennDiagram,TRUE,TRUE,,Venn diagrams
